country_code,n_panel_years,n_missing_years,missing_years,country_missingness_rate,all_years_available
AT,10,4,"2005, 2006, 2007, 2008",0.4,False
BE,10,4,"2005, 2006, 2007, 2008",0.4,False
BG,8,2,"2007, 2008",0.25,False
CZ,10,4,"2005, 2006, 2007, 2008",0.4,False
DE,14,8,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008",0.5714,False
DK,14,8,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008",0.5714,False
EE,10,4,"2005, 2006, 2007, 2008",0.4,False
EL,8,2,"2007, 2008",0.25,False
ES,14,8,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008",0.5714,False
FI,14,8,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008",0.5714,False
FR,14,2,"2001, 2002",0.1429,False
HU,10,4,"2005, 2006, 2007, 2008",0.4,False
IE,8,2,"2007, 2008",0.25,False
IT,14,8,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008",0.5714,False
LT,8,2,"2007, 2008",0.25,False
LV,8,2,"2007, 2008",0.25,False
MT,8,2,"2007, 2008",0.25,False
NL,10,4,"2005, 2006, 2007, 2008",0.4,False
PL,10,4,"2005, 2006, 2007, 2008",0.4,False
PT,10,4,"2005, 2006, 2007, 2008",0.4,False
RO,10,4,"2005, 2006, 2007, 2008",0.4,False
SE,14,4,"2001, 2002, 2003, 2004",0.2857,False
SI,9,3,"2006, 2007, 2008",0.3333,False
SK,10,4,"2005, 2006, 2007, 2008",0.4,False
__OVERALL__,255,101,"AT:2005, AT:2006, AT:2007, AT:2008, BE:2005, BE:2006, BE:2007, BE:2008, BG:2007, BG:2008, CZ:2005, CZ:2006, CZ:2007, CZ:2008, DE:2001, DE:2002, DE:2003, DE:2004, DE:2005, DE:2006, DE:2007, DE:2008, DK:2001, DK:2002, DK:2003, DK:2004, DK:2005, DK:2006, DK:2007, DK:2008, EE:2005, EE:2006, EE:2007, EE:2008, EL:2007, EL:2008, ES:2001, ES:2002, ES:2003, ES:2004, ES:2005, ES:2006, ES:2007, ES:2008, FI:2001, FI:2002, FI:2003, FI:2004, FI:2005, FI:2006, FI:2007, FI:2008, FR:2001, FR:2002, HU:2005, HU:2006, HU:2007, HU:2008, IE:2007, IE:2008, IT:2001, IT:2002, IT:2003, IT:2004, IT:2005, IT:2006, IT:2007, IT:2008, LT:2007, LT:2008, LV:2007, LV:2008, MT:2007, MT:2008, NL:2005, NL:2006, NL:2007, NL:2008, PL:2005, PL:2006, PL:2007, PL:2008, PT:2005, PT:2006, PT:2007, PT:2008, RO:2005, RO:2006, RO:2007, RO:2008, SE:2001, SE:2002, SE:2003, SE:2004, SI:2006, SI:2007, SI:2008, SK:2005, SK:2006, SK:2007, SK:2008",0.3961,False
