model_id,family,term,coef_country_cluster,se_country_cluster,ci95_low,ci95_high,p_country_cluster,n_countries,n_entities,n_observations
EQ3_BUCKET,bucket,lr_bucket_1,0.00040056503390592524,0.02408194694610109,-0.04680005098045221,0.04760118104826406,0.9867290663854138,24,236,2283
EQ3_BUCKET,bucket,lr_bucket_2,-0.013605116209486387,0.009815899736803553,-0.03284427969362135,0.005634047274648578,0.1657382191303428,24,236,2283
EQ3_BUCKET,bucket,lr_bucket_3,-0.0077249725820625476,0.01130665461925027,-0.029886015635793076,0.014436070471667981,0.494465600748069,24,236,2283
EQ3_BUCKET,bucket,lr_bucket_4,0.001981337072409245,0.009912400742907604,-0.017446968383689657,0.021409642528508147,0.8415707705221374,24,236,2283
EQ4_COORD_BUCKET,bucket,ln_robots_lag1:coord_pre_c,0.013772228283033788,0.006657635001244683,0.0007232636805942112,0.026821192885473365,0.03858018872285572,23,226,2212
EQ4_COORD_BUCKET,bucket,lr_mod_bucket_1,-0.03756375521466222,0.01873445306451658,-0.07428328322111472,-0.0008442272082097232,0.04495633205961542,23,226,2212
EQ4_COORD_BUCKET,bucket,lr_mod_bucket_2,0.007840233188169676,0.009453812191583005,-0.010689238707333015,0.026369705083672368,0.40692349657546467,23,226,2212
EQ4_COORD_BUCKET,bucket,lr_mod_bucket_3,0.0009747101552554233,0.010491696588376863,-0.019589015157963227,0.021538435468474074,0.9259806173209749,23,226,2212
EQ4_COORD_BUCKET,bucket,lr_mod_bucket_4,0.0006781337184176423,0.006803154853571248,-0.012656049794582003,0.014012317231417288,0.9205989343254343,23,226,2212
EQ4_UD_BUCKET,bucket,ln_robots_lag1:ud_pre_c,-0.00047180759377363473,0.0006219267867688637,-0.0016907840958406074,0.000747168908293338,0.44807846699677667,21,206,2068
EQ4_UD_BUCKET,bucket,lr_mod_bucket_1,-0.0003304891289434529,0.001813397045679083,-0.0038847473384744555,0.0032237690805875497,0.8553876100129373,21,206,2068
EQ4_UD_BUCKET,bucket,lr_mod_bucket_2,0.00023659391263107336,0.000639622594732647,-0.0010170663730449147,0.0014902541983070614,0.7114598965148644,21,206,2068
EQ4_UD_BUCKET,bucket,lr_mod_bucket_3,0.0017196564220148093,0.0008037473392999659,0.00014431163698687627,0.0032950012070427424,0.0323912716087952,21,206,2068
EQ4_UD_BUCKET,bucket,lr_mod_bucket_4,0.0006789960935198354,0.0007045001668320865,-0.0007018242334710541,0.002059816420510725,0.3351470375356048,21,206,2068
EQ5A_EXPOSURE,exposure,lr_exposed,-0.010872570579142787,0.009557451684743428,-0.02960517588123991,0.007860034722954334,0.25528695469151075,24,236,2283
EQ5B_COORD_EXPOSURE,exposure,ln_robots_lag1:coord_pre_c,0.018329140063763752,0.005079741130846052,0.008372847447305489,0.028285432680222017,0.00030823098747050217,23,226,2212
EQ5B_COORD_EXPOSURE,exposure,lr_mod_exposure,-0.013592843678734298,0.008613136407362505,-0.030474591037164808,0.0032889036796962118,0.1145305549347778,23,226,2212
EQ5B_UD_EXPOSURE,exposure,ln_robots_lag1:ud_pre_c,-0.00021044890101892463,0.00039034239809746565,-0.0009755200012899573,0.000554622199252108,0.5897907864277823,21,206,2068
EQ5B_UD_EXPOSURE,exposure,lr_mod_exposure,0.00020607986984255006,0.0003861880599485671,-0.0005508487276566414,0.0009630084673417415,0.5936005308694643,21,206,2068
