country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AT,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
BE,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
BG,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
CZ,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
DE,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
DK,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
EE,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
EL,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
ES,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
FI,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
FR,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HU,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
IE,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
IT,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
LT,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
LV,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
MT,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
NL,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
NO,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PL,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
PT,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
RO,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
SE,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
SI,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
SK,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
UK,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
