country_code,coord_pre,ud_pre,coord_pre_c,ud_pre_c
AT,4.0,43.75,1.2487179487179487,-1.8965277777777771
BE,4.0,50.01666666666667,1.2487179487179487,4.370138888888896
CZ,3.0,50.9,0.2487179487179487,5.253472222222221
DE,4.0,30.15,1.2487179487179487,-15.496527777777777
DK,4.0,74.98333333333333,1.2487179487179487,29.336805555555557
EE,2.0,57.2,-0.7512820512820513,11.553472222222226
EL,2.0,28.85,-0.7512820512820513,-16.796527777777776
ES,2.0,15.416666666666666,-0.7512820512820513,-30.229861111111113
FI,3.1666666666666665,75.64999999999999,0.4153846153846152,30.003472222222214
FR,2.0,9.0,-0.7512820512820513,-36.64652777777778
HU,1.5,42.65,-1.2512820512820513,-2.9965277777777786
IE,4.333333333333333,41.61666666666667,1.5820512820512818,-4.02986111111111
IT,3.3333333333333335,36.25,0.5820512820512822,-9.396527777777775
LT,1.0,33.4,-1.7512820512820513,-12.24652777777778
LV,1.0,28.6,-1.7512820512820513,-17.046527777777776
MT,1.5,59.05,-1.2512820512820513,13.40347222222222
NL,4.333333333333333,24.95,1.5820512820512818,-20.696527777777774
PL,4.166666666666667,46.099999999999994,1.4153846153846157,0.4534722222222171
PT,2.3333333333333335,23.6,-0.4179487179487178,-22.046527777777776
SE,3.6666666666666665,83.48333333333333,0.9153846153846152,37.83680555555556
SK,3.0,61.8,0.2487179487179487,16.15347222222222
